,book_id,rating_count,rating_mean,ISBN,book_title,book_author,year_of_publication,publisher,image
71,71,1,10.0,1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,1stBooks Library,http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg
81,81,1,10.0,0966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg
178,178,1,10.0,3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,1980,Diogenes Verlag,http://images.amazon.com/images/P/3257207522.01.THUMBZZZ.jpg
180,180,1,10.0,3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,1981,Diogenes Verlag,http://images.amazon.com/images/P/3257208634.01.THUMBZZZ.jpg
184,184,1,10.0,3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,2000,Diogenes Verlag,http://images.amazon.com/images/P/3257212429.01.THUMBZZZ.jpg
199,199,1,10.0,3548254268,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,2002,Ullstein Tb,http://images.amazon.com/images/P/3548254268.01.THUMBZZZ.jpg
514,514,1,10.0,0026329859,From the Earth: Chinese Vegetarian Cooking,Eileen Yin-Fei Lo,1995,MacMillan Publishing Company.,http://images.amazon.com/images/P/0026329859.01.THUMBZZZ.jpg
546,546,1,10.0,0030096189,Organic Chemistry (Saunders Golden Sunburst Series),Stephen J. Weininger,1994,Saunders College Publishing,http://images.amazon.com/images/P/0030096189.01.THUMBZZZ.jpg
599,599,1,10.0,0849943450,The Canopy,Angela Elwell Hunt,2003,WestBow Press,http://images.amazon.com/images/P/0849943450.01.THUMBZZZ.jpg
671,671,1,10.0,0516076272,A polar bear called Pingo,Ilona Koidahl,1974,Childrens Press,http://images.amazon.com/images/P/0516076272.01.THUMBZZZ.jpg
733,733,1,10.0,2070384349,La Faute de l'abbÃ?Â© Mouret,Emile Zola,1991,Gallimard,http://images.amazon.com/images/P/2070384349.01.THUMBZZZ.jpg
1003,1003,1,10.0,0393030342,A Christmas Story,Richard Burton,1991,W W Norton &amp; Co Inc,http://images.amazon.com/images/P/0393030342.01.THUMBZZZ.jpg
1032,1032,1,10.0,0741409690,The Burberry Style,Jonathan Pearce,2002,Infinity Publishing.com,http://images.amazon.com/images/P/0741409690.01.THUMBZZZ.jpg
1033,1033,1,10.0,0741407213,Heavier Than Air (Balona Books),Jonathan Pearce,2001,Infinity Publishing.com,http://images.amazon.com/images/P/0741407213.01.THUMBZZZ.jpg
1034,1034,1,10.0,0759612277,A Little Honesty: Trials and Triumphs of a Prince of Balona,Jonathan Pearce,2001,1stBooks Library,http://images.amazon.com/images/P/0759612277.01.THUMBZZZ.jpg
1036,1036,1,10.0,1585007366,Sang Froyd (Balona Books),Jonathan Pearce,1999,1stBooks Library,http://images.amazon.com/images/P/1585007366.01.THUMBZZZ.jpg
1037,1037,1,10.0,074141127X,The Chocolate Korndog,Jonathan Pearce,2002,Infinity Publishing (PA),http://images.amazon.com/images/P/074141127X.01.THUMBZZZ.jpg
1038,1038,1,10.0,0741403471,One Brick Shy,Jonathan Pearce,2000,Infinity Publishing (PA),http://images.amazon.com/images/P/0741403471.01.THUMBZZZ.jpg
1039,1039,1,10.0,0741403781,Spring Break,Jonathan Pearce,2000,Infinity Publishing (PA),http://images.amazon.com/images/P/0741403781.01.THUMBZZZ.jpg
1040,1040,1,10.0,0741403056,Focusing the Private Eye,Jonathan Pearce,2000,Infinity Publishing (PA),http://images.amazon.com/images/P/0741403056.01.THUMBZZZ.jpg
1042,1042,1,10.0,0741402912,Finding Dad,Jonathan Pearce,1999,Infinity Publishing (PA),http://images.amazon.com/images/P/0741402912.01.THUMBZZZ.jpg
1070,1070,1,10.0,0975311255,A Temporary New Wife,Malcolm Goodway,2004,AuthorsOmniscient Publishers,http://images.amazon.com/images/P/0975311255.01.THUMBZZZ.jpg
1272,1272,1,10.0,3257250053,Die Geschichte Von Babar,Jean de Brunhoff,1920,Diogenes,http://images.amazon.com/images/P/3257250053.01.THUMBZZZ.jpg
1279,1279,1,10.0,340780573X,Post fÃ?Â¼r den Tiger,Janosch,1996,Beltz,http://images.amazon.com/images/P/340780573X.01.THUMBZZZ.jpg
1280,1280,1,10.0,3407805853,Das Leben der Thiere,Janosch,1991,Beltz,http://images.amazon.com/images/P/3407805853.01.THUMBZZZ.jpg
1548,1552,1,10.0,0791423549,Native American Postcolonial Psychology (Suny Series in Transpersonal and Humanistic Psychology),Eduardo Duran,1995,State University of New York Press,http://images.amazon.com/images/P/0791423549.01.THUMBZZZ.jpg
1550,1554,2,10.0,0465016146,The Mystery of Capital: Why Capitalism Triumphs in the West and Fails Everywhere Else,Hernando De Soto,2000,Basic Books,http://images.amazon.com/images/P/0465016146.01.THUMBZZZ.jpg
1576,1580,1,10.0,3453151933,Tom Clancys Power Plays 2. Tigerjagd.,Tom Clancy,1999,Heyne,http://images.amazon.com/images/P/3453151933.01.THUMBZZZ.jpg
1579,1583,1,10.0,014056232X,Way Out West Lives a Coyote Named Frank (Picture Puffins),Jillian Lund,1997,Puffin Books,http://images.amazon.com/images/P/014056232X.01.THUMBZZZ.jpg
